WSI_Name,Class,Total_Area_region,Total_Perimeter_region,Total_Area_WSI,Total_Perimeter_WSI,Region_area_%_of_tissue,Region_perimeter_%_of_tissue
Basal_TCGA-B6-A1KF-01Z-00-DX1.2E08E830-4216-4CD0-9646-1F489300E11D,Non-Malignant,41155663.423,47475.380688,2682400087.4763,3567782.1088,1.5343,1.3307
Basal_TCGA-BH-A18Q-01Z-00-DX1.E89E49C7-D62A-4408-A3D9-19E79FCB249E,Malignant,11388234.751392,153068.9422081,3883431736.3338,786951.2074,0.2933,19.4509
Basal_TCGA-BH-A18Q-01Z-00-DX1.E89E49C7-D62A-4408-A3D9-19E79FCB249E,Non-Malignant,5402736.76,27456.5426521,3883431736.3338,786951.2074,0.1391,3.489
Basal_TCGA-GM-A2DF-01Z-00-DX1.CD0BE6D7-2DB3-4193-84CC-F9BE7BF18CC2,Malignant,1010526.2342652,36944.95029968,2736652385.2572,2291619.9782,0.0369,1.6122
Basal_TCGA-GM-A2DF-01Z-00-DX1.CD0BE6D7-2DB3-4193-84CC-F9BE7BF18CC2,Non-Malignant,15322596.03683,50171.389439,2736652385.2572,2291619.9782,0.5599,2.1893
Her2_TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,Malignant,1457017.615715,33576.0163107,2890031932.1063,1365459.2861,0.0504,2.459
Her2_TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,Non-Malignant,21319682.7905,41195.830474,2890031932.1063,1365459.2861,0.7377,3.017
Her2_TCGA-A2-A0CX-01Z-00-DX1.F07C75AB-E568-45CB-B497-37C712490393,Malignant,5225520.6094,41172.4953766,1243609239.6569,1221525.0458,0.4202,3.3706
Her2_TCGA-A2-A0CX-01Z-00-DX1.F07C75AB-E568-45CB-B497-37C712490393,Non-Malignant,4023773.4462,27804.677042,1243609239.6569,1221525.0458,0.3236,2.2762
Her2_TCGA-A2-A0EQ-01Z-00-DX1.5FCD8890-4594-4BE2-93B1-B8F698BFD2A0,Malignant,2517623.4251865,83961.2241983,2925885776.745,1280044.5101,0.086,6.5592
Her2_TCGA-A2-A0EQ-01Z-00-DX1.5FCD8890-4594-4BE2-93B1-B8F698BFD2A0,Non-Malignant,8894660.403,39396.046985,2925885776.745,1280044.5101,0.304,3.0777
Her2_TCGA-A2-A3XV-01Z-00-DX1.4B58B7CD-B3F6-4C31-863F-924D291EF17C,Malignant,10839248.20715,69788.153456,2784890686.0629,426320.1467,0.3892,16.3699
Her2_TCGA-A2-A3XV-01Z-00-DX1.4B58B7CD-B3F6-4C31-863F-924D291EF17C,Non-Malignant,4755259.129,19763.368309,2784890686.0629,426320.1467,0.1708,4.6358
Her2_TCGA-A8-A08B-01Z-00-DX1.416316FD-E8BF-402C-939A-08920F08A181,Malignant,6347014.8804,61122.952692,467994887.2068,247894.5219,1.3562,24.6568
Her2_TCGA-A8-A08L-01Z-00-DX1.0FC652B1-336D-4198-93FE-58D2214866D3,Malignant,3323348.74981,31602.423487,1079846686.6273,323531.2033,0.3078,9.768
Her2_TCGA-A8-A08L-01Z-00-DX1.0FC652B1-336D-4198-93FE-58D2214866D3,Non-Malignant,2553286.3891,21318.31129,1079846686.6273,323531.2033,0.2364,6.5893
Her2_TCGA-AO-A0JE-01Z-00-DX1.82D33053-E305-47D8-9B02-B55511EBB06D,Malignant,16834062.676051,149982.0912453,1229168434.5615,1212497.3315,1.3695,12.3697
Her2_TCGA-AO-A0JE-01Z-00-DX1.82D33053-E305-47D8-9B02-B55511EBB06D,Non-Malignant,3901913.8879,21219.877616,1229168434.5615,1212497.3315,0.3174,1.7501
Her2_TCGA-C8-A12Q-01Z-00-DX1.CE74E5B7-FD30-4CBE-8716-ECCF2213AAC3,Malignant,3356104.5220543,36937.9933475,2566661869.0318,585430.077,0.1308,6.3095
Her2_TCGA-C8-A12Q-01Z-00-DX1.CE74E5B7-FD30-4CBE-8716-ECCF2213AAC3,Non-Malignant,10122516.9562,31021.180079,2566661869.0318,585430.077,0.3944,5.2989
Her2_TCGA-E2-A1LB-01Z-00-DX1.B4AFDB08-BA09-4F6E-806E-4054B790AB8E,Malignant,4543656.4304806,39072.80638037,2035391272.2993,1337652.0865,0.2232,2.921
Her2_TCGA-E2-A1LB-01Z-00-DX1.B4AFDB08-BA09-4F6E-806E-4054B790AB8E,Non-Malignant,10403973.93252,32877.394209,2035391272.2993,1337652.0865,0.5112,2.4578
